	id	name	light	number	address	activate	no_available	total_bases	dock_bikes	free_bases	reservations_count	geometry.type	geometry.coordinates
0	1	1a - Puerta del Sol A	3	1a	Puerta del Sol nº 1	1	1	30	0	0	0	Point	[-3.7018341, 40.4172137]
1	2	1b - Puerta del Sol B	3	1b	Puerta del Sol nº 1	1	1	30	0	0	0	Point	[-3.701602938060457, 40.41731271011562]
2	3	2 - Miguel Moya	3	2	Calle Miguel Moya nº 1	1	1	24	0	0	0	Point	[-3.7058415, 40.4205886]
3	4	3 - Plaza Conde Suchil	2	3	Plaza del Conde del Valle de Súchil nº 3	1	0	18	9	9	0	Point	[-3.7069171, 40.4302937]
4	5	4 - Malasaña	1	4	Calle Manuela Malasaña nº 5	1	0	24	23	1	0	Point	[-3.7025875, 40.4285524]
5	6	5 - Fuencarral	1	5	Calle Fuencarral nº 108	1	0	27	25	0	0	Point	[-3.70205, 40.42852]
6	7	6 - Colegio Arquitectos	3	6	Calle Hortaleza nº 63	1	1	24	0	0	0	Point	[-3.698447, 40.424148]
7	8	7 - Hortaleza	3	7	Calle Hortaleza nº 75	1	1	21	0	0	0	Point	[-3.6977715, 40.4251906]
8	9	8 - Alonso Martínez	1	8	Plaza de Alonso Martínez nº 5	1	0	24	22	0	0	Point	[-3.6954403, 40.4278682]
9	10	9 - Plaza de San Miguel	2	9	Plaza de San Miguel nº 9	1	0	24	10	10	0	Point	[-3.7095084, 40.4156057]
10	11	10 - Marqués de la Ensenada	2	10	Calle Marqués de la Ensenada nº 16	1	0	24	8	12	0	Point	[-3.69214, 40.42533]
11	12	11 - San Andrés	1	11	Calle San Andrés nº 18	1	0	24	16	1	0	Point	[-3.7035918, 40.4269483]
12	13	12 - San Hermenegildo	1	12	Calle San Bernardo nº 85	1	0	24	18	2	0	Point	[-3.7061931, 40.4284246]
13	14	13 - Conde Duque	1	13	Calle Conde Duque nº 22	1	0	24	14	1	0	Point	[-3.7104417, 40.4273264]
14	15	14 - Ventura Rodríguez	3	14	Calle Duque de Liria	1	1	24	0	0	0	Point	[-3.713479, 40.4260957]
15	16	15 - San Vicente Ferrer	1	15	Calle San Vicente Ferrer nº 64	1	0	21	20	0	0	Point	[-3.7074453, 40.4262383]
16	17	16 - San Bernardo	1	16	Calle San Bernardo nº 22	1	0	21	17	1	0	Point	[-3.7075065, 40.4230721]
17	18	17 - Carlos Cambronero	1	17	Plaza de Carlos Cambronero nº 2	1	0	24	22	0	0	Point	[-3.7038312, 40.4232649]
18	19	18 - Plaza de Pedro Zerolo	3	18	Plaza de Pedro Zerolo nº 1	1	1	24	0	0	0	Point	[-3.6996502, 40.4207773]
19	20	19 - Prim	3	19	Calle Prim nº 2	1	1	24	0	0	0	Point	[-3.6954983, 40.4218616]
20	21	20a - Banco de España A	3	20a	Calle Alcalá nº 49	1	1	30	0	0	0	Point	[-3.6954615, 40.4192342]
21	25	22 - Jacometrezo	3	22	Calle Jacometrezo nº 3	1	1	24	0	0	0	Point	[-3.7065376, 40.4200783]
22	26	23 - Santo Domingo	1	23	Plaza de Santo Domingo nº 1	1	0	24	23	0	0	Point	[-3.7081246, 40.4202834]
23	27	24 - Palacio de Oriente	2	24	Calle Carlos III nº 1	1	0	24	9	8	0	Point	[-3.710692, 40.417908]
24	28	25a - Plaza de Celenque A	3	25a	Plaza de Celenque nº 1	1	1	24	0	0	0	Point	[-3.7057791, 40.4173703]
25	29	25b - Plaza de Celenque B	3	25b	Plaza de Celenque nº 1	1	1	24	0	0	0	Point	[-3.7063837, 40.4172781]
26	30	26 - Plaza de las Salesas	1	26	Plaza de las Salesas 7	1	0	24	20	2	0	Point	[-3.694475, 40.423855]
27	31	27 - Huertas	2	27	Calle Jesús nº 1	1	0	24	9	12	0	Point	[-3.6956178, 40.4132798]
28	32	28 - Sevilla	1	28	Calle Alcalá nº 27	1	0	24	18	5	1	Point	[-3.6984368, 40.4181518]
29	33	29 - Marqués de Cubas	2	29	Calle del Marqués de Cubas nº 25	1	0	24	10	14	0	Point	[-3.6957355, 40.4162619]
30	34	30 - San Quintín	2	30	Calle Pavía nº 6	1	0	27	16	10	1	Point	[-3.711504, 40.4192095]
31	35	31 - Calle Mayor	3	31	Calle Mayor nº 20	1	1	27	0	0	0	Point	[-3.7068969, 40.4163638]
32	36	32 - Plaza de la Provincia	2	32	Plaza de la Provincia nº 1	1	0	18	5	9	2	Point	[-3.7061032, 40.4150099]
33	37	33 - Carretas	3	33	Calle Carretas nº 8	1	1	21	0	0	0	Point	[-3.7030833, 40.4165039]
34	38	34 - Jacinto Benavente	1	34	Plaza de Jacinto Benavente	1	0	24	21	0	0	Point	[-3.7036825, 40.4146755]
35	39	35 - Plaza del Cordón	2	35	Plaza del Cordón	1	0	24	10	12	0	Point	[-3.7103285, 40.4141931]
36	40	36 - Plaza Ramales	2	36	Plaza de Ramales	1	0	24	10	13	0	Point	[-3.71183, 40.4168]
37	41	37 - Plaza de San Francisco	2	37	Plaza de San Francisco nº 5	1	0	24	10	8	0	Point	[-3.714113, 40.4108]
38	42	38 - Plaza de los Carros	2	38	Carrera de San Francisco nº 1	1	0	24	12	11	0	Point	[-3.7114762, 40.4114041]
39	43	39 - Plaza de la Cebada	1	39	Plaza de la Cebada nº 16 	1	0	27	20	4	0	Point	[-3.7088337, 40.4112744]
40	44	40 - Conde de Romanones	2	40	Plaza del Conde de Romanones nº 9	1	0	24	15	8	0	Point	[-3.7049407, 40.4138846]
41	45	41 - Antón Martín	1	41	Calle Atocha nº 54	1	0	18	13	4	0	Point	[-3.6991147, 40.4122047]
42	46	42 - Santa Isabel	1	42	Calle Atocha nº 95	1	0	24	17	7	0	Point	[-3.6982318, 40.4107085]
43	47	43 - Jesús y María	2	43	Calle Lavapiés nº 34	1	0	24	10	13	0	Point	[-3.7025024, 40.4101564]
44	48	44 - Plaza de Nelson Mandela	0	44	Calle Mesón de Paredes nº 35	1	0	21	5	12	1	Point	[-3.7040666, 40.4097617]
45	49	45 - Puerta de Toledo	2	45	Glorieta de la Puerta de Toledo nº 1	1	0	21	12	8	0	Point	[-3.7110513, 40.4070358]
46	50	46 - Ribera de Curtidores	2	46	Calle Ribera de Curtidores nº 28	1	0	24	9	12	0	Point	[-3.7071259, 40.4053153]
47	51	47 - Embajadores 1	2	47	Glorieta de Embajadores nº 6	1	0	24	10	13	0	Point	[-3.7028265, 40.4047851]
48	52	48 - Embajadores 2	1	48	Glorieta de Embajadores nº 2	1	0	24	18	1	0	Point	[-3.7022591, 40.4056107]
49	53	49 - Casa Encendida	1	49	Ronda de Atocha nº 34	1	0	24	22	2	0	Point	[-3.6992759, 40.4060941]
50	54	50 - Museo Reina Sofía	2	50	Calle Santa Isabel nº 57	1	0	24	9	14	0	Point	[-3.6933463, 40.4083684]
51	55	51 - Ronda de Atocha	2	51	Ronda de Atocha nº 2	1	0	27	11	13	0	Point	[-3.6935205, 40.4075606]
52	56	52 - Plaza de Santa Ana	1	52	Plaza de Santa Ana nº 10	1	0	24	22	1	0	Point	[-3.7007164, 40.4144226]
53	57	53 - Plaza de Lavapiés	2	53	Calle Valencia nº 1	1	0	24	15	8	0	Point	[-3.7007111, 40.4083061]
54	58	54 - Barceló	1	54	Calle Barceló nº 7	1	0	21	19	0	0	Point	[-3.700423, 40.4266828]
55	59	55 - Plaza de San Ildefonso	1	55	Plaza de San Ildefonso	1	0	24	22	1	0	Point	[-3.7020842, 40.4239757]
56	60	56 - Plaza del Carmen 	3	56	Plaza del Carmen nº 1	1	1	24	0	0	0	Point	[-3.7032414, 40.4184192]
57	61	57 - Santa Cruz del Marcenado	1	57	Calle Santa Cruz del Marcenado nº 24	1	0	24	17	6	0	Point	[-3.7126299, 40.4295658]
58	62	58 - Augusto Figueroa	3	58	Calle Augusto Figueroa nº 33	1	1	24	0	0	0	Point	[-3.697895, 40.4222862]
59	63	59 - Plaza de Juan Pujol	1	59	Calle Espíritu Santo nº 30	1	0	21	17	4	0	Point	[-3.7043418, 40.4255495]
60	64	60 - Plaza de la Independencia	1	60	Plaza de la Independencia nº 6	1	0	24	18	3	0	Point	[-3.688398, 40.419752]
61	65	61 - Narváez	0	61	Calle O'Donnell nº 28	1	0	24	4	20	0	Point	[-3.6752045, 40.4213983]
62	66	62 - O'Donnell	0	62	Calle O'Donnell nº 50	1	0	24	5	15	0	Point	[-3.6724968, 40.4213148]
63	67	63 - Ibiza	2	63	Calle Ibiza nº 62	1	0	24	14	10	0	Point	[-3.6708959, 40.4179237]
64	69	65 - Antonio Maura	0	65	Calle Antonio Maura nº 15	1	0	24	6	18	2	Point	[-3.6894193, 40.4166834]
65	71	67 - Almadén	2	67	Calle Almadén nº 28	1	0	24	15	7	0	Point	[-3.693225, 40.4108472]
66	72	68 - Espalter	2	68	Calle Espalter nº 1	1	0	21	14	6	0	Point	[-3.6912023, 40.4128372]
67	73	69 - Puerta del Ángel Caído	0	69	Avenida de Alfonso XII nº 54	1	0	27	5	22	0	Point	[-3.688822, 40.409808]
68	74	70 - Puerta del Doce de Octubre	1	70	Avenida de Menéndez Pelayo nº 63	1	0	24	18	6	0	Point	[-3.6779232, 40.4153053]
69	75	71 - Doce de Octubre	0	71	Calle Doce de Octubre nº 28	1	0	24	5	18	0	Point	[-3.6738865, 40.4159569]
70	76	72 - Sainz de Baranda	1	72	Calle Doctor Esquerdo nº 99	1	0	24	20	4	0	Point	[-3.6691838, 40.4157413]
71	77	73 - Plaza de los Astros	0	73	Avenida de Nazaret nº 7	1	0	24	5	18	1	Point	[-3.6689089, 40.4114475]
72	78	74 - Puerta del Pacífico 	2	74	Avenida de Menéndez Pelayo nº 73	1	0	24	8	14	0	Point	[-3.6766813, 40.4117627]
73	79	75 - Menéndez Pelayo	2	75	Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas	1	0	24	10	14	0	Point	[-3.6784838, 40.4082805]
74	80	76 - Puerta de Mariano de Cavia	2	76	Avenida del Mediterráneo nº 19	1	0	24	17	7	0	Point	[-3.6751352, 40.4071304]
75	81	77 - Conde de Casal	0	77	Plaza del Conde de Casal nº 8	1	0	22	2	16	0	Point	[-3.670422, 40.40635]
76	82	78 - Pedro Bosch	2	78	Calle Cerro de la Plata nº 2	1	0	24	10	14	0	Point	[-3.6744, 40.400789]
77	83	79 - Puerta de Granada	0	79	Avenida de Menéndez Pelayo nº 38	1	0	24	7	16	0	Point	[-3.6803874, 40.4051451]
78	84	80a - Atocha A	1	80a	Paseo de la Infanta Isabel nº 3	1	0	24	20	3	0	Point	[-3.6902255, 40.4075685]
79	85	80b - Atocha B	1	80b	Paseo de la Infanta Isabel nº 3	1	0	27	23	1	0	Point	[-3.6901234, 40.4074902]
80	86	81 - Cuesta de Moyano	2	81	Cuesta de Claudio Moyano	1	0	24	9	13	0	Point	[-3.691987, 40.409297]
81	87	82 - Niño Jesús	0	82	Calle Doctor Esquerdo nº 161	1	0	24	6	17	0	Point	[-3.6697526, 40.4084556]
82	88	83 - Pío Baroja	2	83	Calle Pío Baroja nº 10	1	0	24	14	9	0	Point	[-3.6745323, 40.4132995]
83	89	84 - Valderribas	2	84	Calle Doctor Esquerdo nº 191	1	0	24	12	12	0	Point	[-3.6726019, 40.4032501]
84	90	85 - Puerta de Madrid	0	85	Avenida de Menéndez Pelayo esquina calle O'Donnell	1	0	27	7	18	0	Point	[-3.680008, 40.421501]
85	91	86 - Cibeles	1	86	Plaza Cibeles	1	0	21	21	0	0	Point	[-3.6933498, 40.4186516]
86	92	87 - Ayala	0	87	Calle Ayala nº 44	1	0	24	1	23	0	Point	[-3.6832566, 40.427736]
87	93	88 - Embajada de Italia	0	88	Calle Velázquez nº 75	1	0	24	0	23	0	Point	[-3.6838303, 40.4313576]
88	94	89 - Conde Peñalver	0	89	Calle Ayala nº 102	1	0	24	1	22	0	Point	[-3.6752024, 40.4272582]
89	95	90 - General Pardiñas	0	90	Calle Goya nº 18	1	0	30	4	25	0	Point	[-3.6837876, 40.4250361]
90	96	91 - Príncipe de Vergara	0	91	Calle Hermosilla nº 70	1	0	24	5	19	0	Point	[-3.6787441, 40.426134]
91	97	92 - Claudio Coello	0	92	Calle Claudio Coello nº 45	1	0	24	6	17	0	Point	[-3.6865463, 40.4262945]
92	98	93 - Plaza de Colón	2	93	Calle Goya nº 1	1	0	24	10	10	0	Point	[-3.6893698, 40.4257046]
93	99	94 - Biblioteca Nacional	1	94	Paseo de Recoletos nº 20	1	0	21	15	5	0	Point	[-3.690756, 40.4232153]
94	100	95 - Villanueva	0	95	Calle Claudio Coello nº 109	1	0	24	5	19	0	Point	[-3.6870548, 40.4226584]
95	101	96 - Castelló	0	96	Calle Alcalá nº 111	1	0	27	8	18	0	Point	[-3.6821793, 40.422064]
96	102	97 - Alcalá	0	97	Avenida de Menéndez Pelayo nº 3	1	0	27	7	20	0	Point	[-3.6805189, 40.4222969]
97	103	98 - Plaza de Felipe II	1	98	Plaza de Felipe II	1	0	24	23	1	0	Point	[-3.6758383, 40.4239447]
98	104	99 - Alcántara	0	99	Calle Alcántara nº 2	1	0	24	3	20	0	Point	[-3.6738714, 40.4261851]
99	105	100 - Palacio de Deportes	1	100	Calle Goya nº 99	1	0	24	21	3	0	Point	[-3.67384, 40.42478]
100	106	101 - Jorge Juan	2	101	Calle Jorge Juan nº 131	1	0	24	8	16	0	Point	[-3.6691524, 40.4231526]
101	107	102 - Velázquez	0	102	Calle Alcalá nº 95	1	0	24	5	18	0	Point	[-3.6840229, 40.4211802]
102	108	103 - Ortega y Gasset	3	103	Calle José Ortega y Gasset nº 4	1	1	24	0	0	0	Point	[-3.68653, 40.43037]
103	109	104 - Castellana	2	104	Paseo de la Castellana nº 4	1	0	21	11	10	0	Point	[-3.68958, 40.42677]
104	110	105 - Serrano	0	105	Calle Serrano nº 54	1	0	24	5	19	0	Point	[-3.68745, 40.42699]
105	111	106a - Colón A	0	106a	Calle Serrano nº 34	1	0	18	2	13	0	Point	[-3.6877227, 40.4251002]
106	112	106b - Colón B	0	106b	Calle Serrano nº 34	1	0	18	5	13	0	Point	[-3.687745, 40.424963]
107	113	107 - Columela	2	107	Calle Serrano nº 8	1	0	24	10	14	0	Point	[-3.6884369, 40.4215246]
108	114	108 - Mártires Concepcionistas	0	108	Calle Mártires Concepcionistas nº 2	1	0	27	6	20	0	Point	[-3.6706024, 40.4273005]
109	115	109 - Marqués de Salamanca	2	109	Calle José Ortega y Gasset nº 30	1	0	24	10	14	0	Point	[-3.6816402, 40.4300481]
110	116	110 - Moncloa	2	110	Paseo de Moret nº 2	1	0	24	10	12	0	Point	[-3.7200845, 40.4347895]
111	117	111a - Arcipreste de Hita A	0	111a	Calle Arcipreste de Hita nº 12	1	0	24	5	19	0	Point	[-3.7175435, 40.4337322]
112	118	111b - Arcipreste de Hita B	2	111b	Calle Arcipreste de Hita nº 12	1	0	24	9	14	0	Point	[-3.7179687, 40.4341006]
113	119	112 - Paseo de Moret	2	112	Paseo de Moret nº 11	1	0	24	13	9	1	Point	[-3.7246532, 40.4325991]
114	120	113 - Pintor Rosales	1	113	Paseo del Pintor Rosales frente al nº 38	1	0	24	23	1	0	Point	[-3.7205129, 40.427657]
115	121	114 - Quintana	1	114	Calle Quintana nº 11	1	0	24	21	0	0	Point	[-3.7174158, 40.4277456]
116	122	115 - Ferraz	3	115	Calle Evaristo San Miguel nº 2	1	1	24	0	0	0	Point	[-3.7170448, 40.4253944]
117	123	116a - Plaza de España A	3	116a	Calle Princesa nº 5	1	1	24	0	0	0	Point	[-3.713053, 40.423668]
118	124	116b - Plaza de España B	3	116b	Calle Princesa nº 5	1	1	24	0	2	0	Point	[-3.710537, 40.423681]
119	125	117 - Altamirano	2	117	Calle Altamirano nº 24	1	0	24	10	14	0	Point	[-3.7188898, 40.4309797]
120	126	118 - Juan Martín	1	118	Calle Juan Martín el Empecinado nº 16	1	0	24	18	6	0	Point	[-3.6882407, 40.400781]
121	127	119 - Méndez Álvaro	0	119	Calle Méndez Álvaro nº 11	1	0	24	4	20	0	Point	[-3.6863218, 40.4013216]
122	128	120 - Palos de la Frontera	0	120	Calle Palos de la Frontera nº 27	1	0	24	7	16	0	Point	[-3.6944768, 40.4032208]
123	129	121 - Santa María de la Cabeza	0	121	Paseo de Santa María de la Cabeza nº 58	1	0	24	5	18	0	Point	[-3.6987665, 40.4017926]
124	130	122 - Santa Engracia 14	2	122	Calle Santa Engracia nº 14	1	0	24	15	8	0	Point	[-3.6967169, 40.4291992]
125	131	123 - Guzmán el Bueno	2	123	Calle Guzmán el Bueno nº 1	1	0	24	7	14	0	Point	[-3.7133412, 40.4306458]
126	169	124 - Manuel Silvela	1	124	Calle Manuel Silvela nº 20	1	0	24	18	5	0	Point	[-3.6993465, 40.4309524]
127	164	125 - General Martínez Campos 	2	125	Calle Fernández de la Hoz nº 29	1	0	24	8	15	0	Point	[-3.6948626, 40.435285]
128	163	126 - General Álvarez de Castro	1	126	Calle del General Álvarez de Castro nº 1	1	0	24	20	4	0	Point	[-3.7015686, 40.4344731]
129	168	127 - Fernando el Católico	2	127	Calle Fernando el Católico nº 19	1	0	24	10	12	0	Point	[-3.708439, 40.4338516]
130	160	128 - Cea Bermúdez	0	128	Calle Cea Bermúdez nº 59	1	0	27	4	22	0	Point	[-3.7154329, 40.438994]
131	161	129 - José Abascal	2	129	Calle José Abascal nº 33	1	0	24	8	15	0	Point	[-3.6982353, 40.4383865]
132	157	130 - Santa Engracia 127	2	130	Calle Santa Engracia nº 127	1	0	20	10	7	0	Point	[-3.70164, 40.44156]
133	156	131 - Bravo Murillo 44	0	131	Calle Bravo Murillo nº 44	1	0	24	4	20	0	Point	[-3.7040344, 40.4418402]
134	149	132 - Glorieta de los Cuatro Caminos	0	132	Calle Santa Engracia nº 168	1	0	24	3	18	0	Point	[-3.7036675, 40.4463667]
135	150	133 - Raimundo Fernández	0	133	Calle Raimundo Fernández Villaverde nº 33	1	0	24	1	22	0	Point	[-3.7001669, 40.447125]
